Skills,Interest,Personality,Education_Level,Recommended_Career
Git; GitHub,Programming,Analytical,Diploma,Software Engineer
Machine Learning; Python,Mobile Development,Logical,UG,Data Scientist
React Native; JavaScript,Programming,Social,UG,Mobile App Developer
Android; Kotlin,App Development,Analytical,PG,Android Developer
Python; OOP,Cloud Computing,Social,PG,Software Engineer
Email Marketing; Branding,Marketing,Analytical,Diploma,Digital Marketer
Deep Learning; Python,Programming,Social,PG,ML Engineer
Android Studio; Kotlin,Machine Learning,Analytical,UG,Android Developer
Azure; Cloud Security,App Development,Analytical,Diploma,Cloud Engineer
Statistics; Python,Mobile Development,Social,PG,Data Scientist
GCP; Cloud Architecture,DevOps,Social,PG,Cloud Engineer
Google Ads; Analytics,Mobile Development,Creative,PG,Digital Marketer
Java; Spring,DevOps,Creative,PG,Software Engineer
PyTorch; Neural Networks,Marketing,Analytical,UG,ML Engineer
Google Ads; Analytics,Designing,Analytical,Diploma,Digital Marketer
Figma; Prototyping,Mobile Development,Social,PG,UI/UX Designer
Python; OOP,Data Analysis,Analytical,Diploma,Software Engineer
Python; OOP,Designing,Analytical,UG,Software Engineer
Android Studio; Kotlin,Data Analysis,Creative,Diploma,Android Developer
Social Media Marketing,Programming,Analytical,Diploma,Digital Marketer
CI/CD; Jenkins,Mobile Development,Logical,PG,DevOps Engineer
Android; Flutter,Machine Learning,Social,Diploma,Mobile App Developer
Azure; Cloud Security,DevOps,Analytical,Diploma,Cloud Engineer
Machine Learning; Python,Marketing,Logical,Diploma,Data Scientist
Android; Kotlin,Cloud Computing,Creative,PG,Android Developer
Java; Android,Programming,Creative,PG,Android Developer
Machine Learning; Python,Designing,Analytical,Diploma,Data Scientist
Docker; Kubernetes,Data Analysis,Social,PG,DevOps Engineer
Deep Learning; Python,Designing,Logical,PG,ML Engineer
Python; OOP,Mobile Development,Social,Diploma,Software Engineer
PyTorch; Neural Networks,Mobile Development,Creative,Diploma,ML Engineer
MERN Stack,Mobile Development,Logical,PG,Web Developer
Deep Learning; Python,Cloud Computing,Logical,UG,ML Engineer
Python; Pandas; NumPy,Designing,Logical,UG,Data Scientist
Git; GitHub,Web Development,Social,Diploma,Software Engineer
Email Marketing; Branding,DevOps,Social,PG,Digital Marketer
Photoshop; Illustrator,Marketing,Creative,PG,UI/UX Designer
React Native; JavaScript,Marketing,Logical,Diploma,Mobile App Developer
Python; ML Algorithms,Data Analysis,Social,PG,ML Engineer
React Native; JavaScript,Cloud Computing,Creative,UG,Mobile App Developer
TensorFlow; Python,Marketing,Logical,Diploma,ML Engineer
AWS; Cloud,DevOps,Social,Diploma,Cloud Engineer
React Native; JavaScript,App Development,Analytical,PG,Mobile App Developer
Linux; Bash; DevOps,Mobile Development,Analytical,Diploma,DevOps Engineer
Docker; Kubernetes,Mobile Development,Logical,UG,DevOps Engineer
Photoshop; Illustrator,Marketing,Logical,UG,UI/UX Designer
PyTorch; Neural Networks,Designing,Social,PG,ML Engineer
Canva; UI Design,Programming,Analytical,Diploma,UI/UX Designer
C++; DSA,Data Analysis,Social,PG,Software Engineer
React Native; JavaScript,DevOps,Analytical,PG,Mobile App Developer
Flutter; Dart,Web Development,Logical,UG,Mobile App Developer
Docker; Kubernetes,Data Analysis,Social,Diploma,DevOps Engineer
Java; Android,Mobile Development,Creative,Diploma,Android Developer
Android; Flutter,Marketing,Analytical,Diploma,Mobile App Developer
Machine Learning; Python,Machine Learning,Social,Diploma,Data Scientist
AWS; Cloud,Web Development,Social,Diploma,Cloud Engineer
TensorFlow; Python,Marketing,Logical,UG,ML Engineer
Machine Learning; Python,Web Development,Creative,Diploma,Data Scientist
AWS; Cloud,Designing,Social,UG,Cloud Engineer
Wireframing; User Research,Data Analysis,Social,PG,UI/UX Designer
Flutter; Dart,Programming,Creative,PG,Mobile App Developer
GCP; Cloud Architecture,Machine Learning,Analytical,PG,Cloud Engineer
Git; GitHub,Mobile Development,Analytical,PG,Software Engineer
C++; DSA,Machine Learning,Creative,Diploma,Software Engineer
HTML; CSS; JavaScript,Machine Learning,Analytical,Diploma,Web Developer
Java; Spring,Marketing,Creative,PG,Software Engineer
Java; Android,Marketing,Creative,UG,Android Developer
Linux; Bash; DevOps,Data Analysis,Logical,Diploma,DevOps Engineer
Linux; Bash; DevOps,Programming,Logical,PG,DevOps Engineer
CI/CD; Jenkins,Cloud Computing,Analytical,PG,DevOps Engineer
Android; Flutter,Programming,Creative,PG,Mobile App Developer
Java; Android,Designing,Social,Diploma,Android Developer
Wireframing; User Research,Data Analysis,Social,PG,UI/UX Designer
Android; Kotlin,Machine Learning,Creative,UG,Android Developer
Python; ML Algorithms,DevOps,Creative,UG,ML Engineer
Email Marketing; Branding,Web Development,Creative,PG,Digital Marketer
NextJS; JavaScript,DevOps,Social,PG,Web Developer
Azure; Cloud Security,Data Analysis,Social,PG,Cloud Engineer
Android; Kotlin,Machine Learning,Analytical,UG,Android Developer
Figma; Prototyping,Designing,Creative,UG,UI/UX Designer
Machine Learning; Python,Data Analysis,Social,PG,Data Scientist
CI/CD; Jenkins,Data Analysis,Analytical,PG,DevOps Engineer
Java; Spring,Data Analysis,Creative,Diploma,Software Engineer
Android; Kotlin,Mobile Development,Creative,PG,Android Developer
Android; Kotlin,Mobile Development,Creative,Diploma,Android Developer
Python; ML Algorithms,Mobile Development,Logical,UG,ML Engineer
NextJS; JavaScript,DevOps,Creative,UG,Web Developer
PyTorch; Neural Networks,Designing,Logical,PG,ML Engineer
CI/CD; Jenkins,Web Development,Logical,UG,DevOps Engineer
Linux; Bash; DevOps,Designing,Social,Diploma,DevOps Engineer
Android Studio; Kotlin,Cloud Computing,Social,Diploma,Android Developer
NextJS; JavaScript,Data Analysis,Analytical,UG,Web Developer
Statistics; Python,Web Development,Analytical,PG,Data Scientist
TensorFlow; Python,Mobile Development,Social,UG,ML Engineer
Social Media Marketing,Marketing,Analytical,UG,Digital Marketer
Android; Flutter,Data Analysis,Creative,PG,Mobile App Developer
Python; ML Algorithms,Mobile Development,Analytical,UG,ML Engineer
Python; Data Analysis,Marketing,Logical,Diploma,Data Scientist
Email Marketing; Branding,Programming,Analytical,UG,Digital Marketer
Deep Learning; Python,Data Analysis,Analytical,Diploma,ML Engineer
Wireframing; User Research,Designing,Analytical,PG,UI/UX Designer
Python; Data Analysis,Data Analysis,Logical,Diploma,Data Scientist
Android; Flutter,Machine Learning,Creative,PG,Mobile App Developer
Email Marketing; Branding,App Development,Creative,UG,Digital Marketer
Linux; Bash; DevOps,Programming,Analytical,Diploma,DevOps Engineer
Social Media Marketing,Web Development,Logical,Diploma,Digital Marketer
Linux; Bash; DevOps,Mobile Development,Logical,PG,DevOps Engineer
Google Ads; Analytics,Designing,Logical,PG,Digital Marketer
Linux; Bash; DevOps,Web Development,Logical,UG,DevOps Engineer
Python; ML Algorithms,App Development,Social,UG,ML Engineer
Python; OOP,Data Analysis,Social,PG,Software Engineer
Statistics; Python,App Development,Social,PG,Data Scientist
Figma; Prototyping,Designing,Analytical,UG,UI/UX Designer
CI/CD; Jenkins,Cloud Computing,Logical,PG,DevOps Engineer
HTML; CSS; JavaScript,Designing,Logical,UG,Web Developer
Email Marketing; Branding,App Development,Creative,PG,Digital Marketer
TensorFlow; Python,Marketing,Analytical,PG,ML Engineer
Social Media Marketing,Programming,Logical,Diploma,Digital Marketer
Git; GitHub,Web Development,Creative,PG,Software Engineer
Statistics; Python,Programming,Creative,Diploma,Data Scientist
Google Ads; Analytics,Programming,Logical,Diploma,Digital Marketer
C++; DSA,Mobile Development,Logical,Diploma,Software Engineer
TensorFlow; Python,Data Analysis,Social,UG,ML Engineer
GCP; Cloud Architecture,Web Development,Analytical,UG,Cloud Engineer
Email Marketing; Branding,DevOps,Logical,PG,Digital Marketer
Android Studio; Kotlin,Programming,Creative,Diploma,Android Developer
Git; GitHub,DevOps,Creative,Diploma,Software Engineer
Python; Pandas; NumPy,Machine Learning,Logical,UG,Data Scientist
Android Studio; Kotlin,Cloud Computing,Logical,Diploma,Android Developer
AWS; Cloud,Marketing,Logical,PG,Cloud Engineer
Java; Spring,Cloud Computing,Creative,Diploma,Software Engineer
PyTorch; Neural Networks,Designing,Social,Diploma,ML Engineer
Google Ads; Analytics,Web Development,Creative,PG,Digital Marketer
React Native; JavaScript,Web Development,Social,UG,Mobile App Developer
Deep Learning; Python,Machine Learning,Creative,PG,ML Engineer
Docker; Kubernetes,App Development,Logical,UG,DevOps Engineer
Deep Learning; Python,Data Analysis,Social,Diploma,ML Engineer
Java; Android,Marketing,Logical,PG,Android Developer
Java; Spring,Designing,Creative,PG,Software Engineer
Email Marketing; Branding,Cloud Computing,Analytical,UG,Digital Marketer
CI/CD; Jenkins,Designing,Logical,Diploma,DevOps Engineer
AWS; Cloud,App Development,Social,UG,Cloud Engineer
React Native; JavaScript,Data Analysis,Logical,PG,Mobile App Developer
Linux; Bash; DevOps,Mobile Development,Social,UG,DevOps Engineer
Deep Learning; Python,Programming,Social,UG,ML Engineer
MERN Stack,Cloud Computing,Creative,PG,Web Developer
React Native; JavaScript,Programming,Logical,UG,Mobile App Developer
Deep Learning; Python,DevOps,Logical,PG,ML Engineer
Linux; Bash; DevOps,Cloud Computing,Creative,Diploma,DevOps Engineer
Android; Kotlin,Mobile Development,Social,PG,Android Developer
CI/CD; Jenkins,Cloud Computing,Logical,UG,DevOps Engineer
Python; Data Analysis,Web Development,Analytical,Diploma,Data Scientist
Python; ML Algorithms,Marketing,Creative,UG,ML Engineer
Photoshop; Illustrator,Data Analysis,Social,UG,UI/UX Designer
React; NodeJS,Cloud Computing,Analytical,UG,Web Developer
GCP; Cloud Architecture,Data Analysis,Creative,UG,Cloud Engineer
Java; Android,Programming,Social,PG,Android Developer
React; NodeJS,Programming,Social,UG,Web Developer
Python; SQL; PowerBI,Programming,Social,Diploma,Data Scientist
Social Media Marketing,DevOps,Creative,PG,Digital Marketer
PyTorch; Neural Networks,DevOps,Analytical,Diploma,ML Engineer
Email Marketing; Branding,Data Analysis,Creative,PG,Digital Marketer
Android; Flutter,Machine Learning,Social,PG,Mobile App Developer
Android Studio; Kotlin,Marketing,Creative,UG,Android Developer
Java; Spring,DevOps,Social,UG,Software Engineer
Java; Android,Designing,Creative,UG,Android Developer
Docker; Kubernetes,App Development,Analytical,Diploma,DevOps Engineer
Canva; UI Design,Marketing,Social,Diploma,UI/UX Designer
NextJS; JavaScript,Cloud Computing,Creative,UG,Web Developer
Python; OOP,App Development,Creative,UG,Software Engineer
Flutter; Dart,Cloud Computing,Analytical,Diploma,Mobile App Developer
Android Studio; Kotlin,Cloud Computing,Creative,UG,Android Developer
PyTorch; Neural Networks,Mobile Development,Social,PG,ML Engineer
Google Ads; Analytics,App Development,Analytical,Diploma,Digital Marketer
PyTorch; Neural Networks,Cloud Computing,Creative,Diploma,ML Engineer
Python; ML Algorithms,Designing,Creative,Diploma,ML Engineer
Android; Flutter,Machine Learning,Social,Diploma,Mobile App Developer
Statistics; Python,DevOps,Logical,PG,Data Scientist
Android Studio; Kotlin,Programming,Creative,UG,Android Developer
Linux; Bash; DevOps,Programming,Logical,Diploma,DevOps Engineer
React; NodeJS,Marketing,Social,Diploma,Web Developer
Azure; Cloud Security,Programming,Social,UG,Cloud Engineer
Linux; Bash; DevOps,Mobile Development,Analytical,UG,DevOps Engineer
Java; Spring,Data Analysis,Analytical,PG,Software Engineer
React; NodeJS,Machine Learning,Logical,UG,Web Developer
Python; Pandas; NumPy,Programming,Analytical,Diploma,Data Scientist
Linux; Bash; DevOps,Mobile Development,Logical,PG,DevOps Engineer
GCP; Cloud Architecture,Programming,Logical,UG,Cloud Engineer
Canva; UI Design,Cloud Computing,Logical,UG,UI/UX Designer
HTML; CSS; JavaScript,Web Development,Logical,UG,Web Developer
Email Marketing; Branding,Mobile Development,Creative,Diploma,Digital Marketer
Android Studio; Kotlin,Mobile Development,Analytical,Diploma,Android Developer
Android; Flutter,DevOps,Creative,Diploma,Mobile App Developer
C++; DSA,Data Analysis,Social,UG,Software Engineer
Python; OOP,Programming,Social,UG,Software Engineer
Android; Flutter,Cloud Computing,Social,UG,Mobile App Developer
NextJS; JavaScript,Machine Learning,Analytical,UG,Web Developer
Python; Data Analysis,Designing,Social,Diploma,Data Scientist
Android; Kotlin,Web Development,Social,UG,Android Developer
Photoshop; Illustrator,App Development,Creative,UG,UI/UX Designer
Azure; Cloud Security,Machine Learning,Creative,Diploma,Cloud Engineer
HTML; CSS; JavaScript,Programming,Logical,UG,Web Developer
Canva; UI Design,Data Analysis,Logical,UG,UI/UX Designer
Git; GitHub,Marketing,Analytical,Diploma,Software Engineer
CI/CD; Jenkins,DevOps,Analytical,UG,DevOps Engineer
AWS; Cloud,Mobile Development,Analytical,Diploma,Cloud Engineer
Docker; Kubernetes,DevOps,Analytical,Diploma,DevOps Engineer
Android Studio; Kotlin,Cloud Computing,Creative,Diploma,Android Developer
Android; Flutter,Programming,Creative,UG,Mobile App Developer
Python; Pandas; NumPy,Programming,Analytical,PG,Data Scientist
Android Studio; Kotlin,Cloud Computing,Analytical,PG,Android Developer
Android; Kotlin,Mobile Development,Logical,UG,Android Developer
Email Marketing; Branding,Marketing,Analytical,Diploma,Digital Marketer
Docker; Kubernetes,App Development,Analytical,Diploma,DevOps Engineer
PyTorch; Neural Networks,Programming,Analytical,PG,ML Engineer
Docker; Kubernetes,App Development,Logical,PG,DevOps Engineer
GCP; Cloud Architecture,Mobile Development,Creative,Diploma,Cloud Engineer
Flutter; Dart,Mobile Development,Analytical,PG,Mobile App Developer
MERN Stack,Designing,Logical,Diploma,Web Developer
HTML; CSS; JavaScript,Marketing,Analytical,PG,Web Developer
HTML; CSS; JavaScript,Mobile Development,Creative,PG,Web Developer
Android Studio; Kotlin,Marketing,Logical,UG,Android Developer
Java; Spring,Machine Learning,Creative,Diploma,Software Engineer
TensorFlow; Python,Marketing,Social,PG,ML Engineer
CI/CD; Jenkins,Web Development,Creative,Diploma,DevOps Engineer
Flutter; Dart,Machine Learning,Logical,Diploma,Mobile App Developer
Linux; Bash; DevOps,Cloud Computing,Logical,PG,DevOps Engineer
Canva; UI Design,Designing,Creative,UG,UI/UX Designer
Python; ML Algorithms,Marketing,Social,UG,ML Engineer
Android; Kotlin,Mobile Development,Logical,Diploma,Android Developer
Photoshop; Illustrator,Programming,Creative,Diploma,UI/UX Designer
CI/CD; Jenkins,Machine Learning,Logical,PG,DevOps Engineer
PyTorch; Neural Networks,Marketing,Analytical,PG,ML Engineer
Deep Learning; Python,Designing,Creative,UG,ML Engineer
Python; Data Analysis,Mobile Development,Analytical,PG,Data Scientist
Figma; Prototyping,Marketing,Creative,PG,UI/UX Designer
Android; Kotlin,Web Development,Creative,UG,Android Developer
CI/CD; Jenkins,Web Development,Creative,Diploma,DevOps Engineer
HTML; CSS; JavaScript,Programming,Logical,UG,Web Developer
TensorFlow; Python,Marketing,Creative,PG,ML Engineer
Python; SQL; PowerBI,Machine Learning,Logical,PG,Data Scientist
React; NodeJS,Web Development,Analytical,Diploma,Web Developer
SEO; Content Writing,Marketing,Creative,PG,Digital Marketer
Canva; UI Design,Data Analysis,Analytical,Diploma,UI/UX Designer
Android; Flutter,Data Analysis,Analytical,UG,Mobile App Developer
PyTorch; Neural Networks,Designing,Social,Diploma,ML Engineer
Python; OOP,Programming,Social,UG,Software Engineer
Python; ML Algorithms,Machine Learning,Social,Diploma,ML Engineer
Python; OOP,Web Development,Creative,UG,Software Engineer
Flutter; Dart,Programming,Social,PG,Mobile App Developer
AWS; Cloud,Programming,Social,UG,Cloud Engineer
Python; SQL; PowerBI,Marketing,Creative,UG,Data Scientist
Python; SQL; PowerBI,Marketing,Creative,UG,Data Scientist
Statistics; Python,Machine Learning,Creative,Diploma,Data Scientist
Android; Kotlin,Marketing,Creative,Diploma,Android Developer
Docker; Kubernetes,Data Analysis,Analytical,Diploma,DevOps Engineer
Linux; Bash; DevOps,Mobile Development,Logical,Diploma,DevOps Engineer
Canva; UI Design,Designing,Analytical,Diploma,UI/UX Designer
SEO; Content Writing,App Development,Creative,UG,Digital Marketer
CI/CD; Jenkins,Programming,Creative,PG,DevOps Engineer
Android; Kotlin,Marketing,Social,PG,Android Developer
CI/CD; Jenkins,Programming,Logical,UG,DevOps Engineer
GCP; Cloud Architecture,Designing,Creative,UG,Cloud Engineer
NextJS; JavaScript,Web Development,Logical,PG,Web Developer
Statistics; Python,Data Analysis,Logical,PG,Data Scientist
Android Studio; Kotlin,Machine Learning,Logical,Diploma,Android Developer
Java; Spring,Machine Learning,Logical,Diploma,Software Engineer
MERN Stack,Web Development,Analytical,Diploma,Web Developer
React; NodeJS,Marketing,Creative,Diploma,Web Developer
TensorFlow; Python,DevOps,Analytical,Diploma,ML Engineer
React Native; JavaScript,Marketing,Logical,PG,Mobile App Developer
React; NodeJS,Web Development,Logical,Diploma,Web Developer
Figma; Prototyping,Designing,Analytical,PG,UI/UX Designer
Flutter; Dart,DevOps,Logical,Diploma,Mobile App Developer
CI/CD; Jenkins,Data Analysis,Analytical,PG,DevOps Engineer
MERN Stack,Programming,Logical,Diploma,Web Developer
Linux; Bash; DevOps,Cloud Computing,Creative,Diploma,DevOps Engineer
Machine Learning; Python,Mobile Development,Social,Diploma,Data Scientist
PyTorch; Neural Networks,Data Analysis,Creative,Diploma,ML Engineer
Wireframing; User Research,Marketing,Social,UG,UI/UX Designer
Linux; Bash; DevOps,App Development,Analytical,PG,DevOps Engineer
Docker; Kubernetes,Designing,Logical,UG,DevOps Engineer
React Native; JavaScript,Mobile Development,Social,PG,Mobile App Developer
Python; ML Algorithms,Data Analysis,Analytical,Diploma,ML Engineer
Deep Learning; Python,Designing,Analytical,UG,ML Engineer
PyTorch; Neural Networks,Cloud Computing,Social,UG,ML Engineer
PyTorch; Neural Networks,Designing,Creative,PG,ML Engineer
Android; Kotlin,Cloud Computing,Analytical,UG,Android Developer
HTML; CSS; JavaScript,Web Development,Social,UG,Web Developer
Wireframing; User Research,Cloud Computing,Analytical,UG,UI/UX Designer
SEO; Content Writing,Cloud Computing,Creative,PG,Digital Marketer
Java; Android,App Development,Social,UG,Android Developer
HTML; CSS; JavaScript,Programming,Social,Diploma,Web Developer
Java; Android,Data Analysis,Logical,Diploma,Android Developer
MERN Stack,Web Development,Social,UG,Web Developer
Flutter; Dart,Mobile Development,Social,UG,Mobile App Developer
Social Media Marketing,Mobile Development,Creative,Diploma,Digital Marketer
Android; Kotlin,Machine Learning,Creative,UG,Android Developer
C++; DSA,Mobile Development,Analytical,PG,Software Engineer
SEO; Content Writing,Machine Learning,Creative,PG,Digital Marketer
Canva; UI Design,Marketing,Social,PG,UI/UX Designer
GCP; Cloud Architecture,Machine Learning,Creative,PG,Cloud Engineer
Python; OOP,Web Development,Social,Diploma,Software Engineer
Figma; Prototyping,Data Analysis,Analytical,PG,UI/UX Designer
Java; Android,App Development,Analytical,Diploma,Android Developer
Statistics; Python,Marketing,Logical,UG,Data Scientist
Python; ML Algorithms,Cloud Computing,Logical,UG,ML Engineer
PyTorch; Neural Networks,DevOps,Logical,Diploma,ML Engineer
CI/CD; Jenkins,Machine Learning,Logical,Diploma,DevOps Engineer
Python; SQL; PowerBI,Web Development,Logical,Diploma,Data Scientist
Email Marketing; Branding,App Development,Logical,PG,Digital Marketer
GCP; Cloud Architecture,Cloud Computing,Social,UG,Cloud Engineer
TensorFlow; Python,Programming,Analytical,Diploma,ML Engineer
C++; DSA,Data Analysis,Social,PG,Software Engineer
TensorFlow; Python,DevOps,Analytical,PG,ML Engineer
NextJS; JavaScript,Mobile Development,Logical,Diploma,Web Developer
C++; DSA,DevOps,Social,Diploma,Software Engineer
AWS; Cloud,Machine Learning,Social,UG,Cloud Engineer
HTML; CSS; JavaScript,Marketing,Logical,Diploma,Web Developer
Java; Android,Mobile Development,Logical,PG,Android Developer
SEO; Content Writing,App Development,Analytical,Diploma,Digital Marketer
Python; Data Analysis,Web Development,Social,UG,Data Scientist
HTML; CSS; JavaScript,Machine Learning,Analytical,UG,Web Developer
React Native; JavaScript,Marketing,Analytical,UG,Mobile App Developer
NextJS; JavaScript,Web Development,Social,Diploma,Web Developer
Docker; Kubernetes,DevOps,Social,UG,DevOps Engineer
Canva; UI Design,Marketing,Logical,UG,UI/UX Designer
Git; GitHub,Marketing,Creative,UG,Software Engineer
MERN Stack,Web Development,Analytical,UG,Web Developer
Linux; Bash; DevOps,Machine Learning,Analytical,UG,DevOps Engineer
React Native; JavaScript,Designing,Logical,PG,Mobile App Developer
Social Media Marketing,Marketing,Creative,PG,Digital Marketer
React Native; JavaScript,App Development,Analytical,Diploma,Mobile App Developer
Canva; UI Design,Web Development,Creative,UG,UI/UX Designer
Email Marketing; Branding,Cloud Computing,Social,UG,Digital Marketer
Social Media Marketing,Web Development,Logical,UG,Digital Marketer
Machine Learning; Python,Programming,Creative,Diploma,Data Scientist
Android; Flutter,DevOps,Social,Diploma,Mobile App Developer
Android Studio; Kotlin,Machine Learning,Creative,UG,Android Developer
Python; ML Algorithms,Data Analysis,Creative,UG,ML Engineer
React Native; JavaScript,Programming,Social,Diploma,Mobile App Developer
CI/CD; Jenkins,Data Analysis,Creative,PG,DevOps Engineer
Python; Pandas; NumPy,Web Development,Analytical,UG,Data Scientist
Android Studio; Kotlin,Marketing,Logical,UG,Android Developer
Git; GitHub,Programming,Analytical,PG,Software Engineer
Java; Android,Marketing,Creative,Diploma,Android Developer
Machine Learning; Python,App Development,Analytical,Diploma,Data Scientist
Email Marketing; Branding,Mobile Development,Social,UG,Digital Marketer
Azure; Cloud Security,DevOps,Social,PG,Cloud Engineer
Android; Flutter,Mobile Development,Creative,Diploma,Mobile App Developer
React Native; JavaScript,Web Development,Logical,UG,Mobile App Developer
NextJS; JavaScript,DevOps,Creative,PG,Web Developer
Canva; UI Design,Marketing,Social,PG,UI/UX Designer
Flutter; Dart,App Development,Creative,PG,Mobile App Developer
AWS; Cloud,Marketing,Creative,UG,Cloud Engineer
MERN Stack,Machine Learning,Logical,UG,Web Developer
Flutter; Dart,DevOps,Social,Diploma,Mobile App Developer
Docker; Kubernetes,Web Development,Creative,UG,DevOps Engineer
C++; DSA,Cloud Computing,Creative,PG,Software Engineer
Deep Learning; Python,Mobile Development,Creative,UG,ML Engineer
Linux; Bash; DevOps,DevOps,Analytical,Diploma,DevOps Engineer
Java; Android,Mobile Development,Analytical,Diploma,Android Developer
Deep Learning; Python,Cloud Computing,Social,UG,ML Engineer
Docker; Kubernetes,Cloud Computing,Social,Diploma,DevOps Engineer
Python; Pandas; NumPy,Cloud Computing,Analytical,Diploma,Data Scientist
Android; Kotlin,Web Development,Creative,PG,Android Developer
Photoshop; Illustrator,Programming,Social,Diploma,UI/UX Designer
Wireframing; User Research,Machine Learning,Logical,PG,UI/UX Designer
MERN Stack,Machine Learning,Social,Diploma,Web Developer
Git; GitHub,Web Development,Logical,UG,Software Engineer
Java; Spring,Data Analysis,Analytical,Diploma,Software Engineer
React; NodeJS,Programming,Social,Diploma,Web Developer
Azure; Cloud Security,Mobile Development,Social,PG,Cloud Engineer
Linux; Bash; DevOps,DevOps,Creative,UG,DevOps Engineer
MERN Stack,Marketing,Logical,Diploma,Web Developer
Java; Spring,Programming,Logical,PG,Software Engineer
SEO; Content Writing,Machine Learning,Social,UG,Digital Marketer
SEO; Content Writing,Marketing,Logical,PG,Digital Marketer
GCP; Cloud Architecture,DevOps,Creative,UG,Cloud Engineer
Android Studio; Kotlin,Marketing,Analytical,Diploma,Android Developer
Python; Pandas; NumPy,Cloud Computing,Logical,PG,Data Scientist
Android; Kotlin,Programming,Creative,UG,Android Developer
AWS; Cloud,Machine Learning,Analytical,PG,Cloud Engineer
Social Media Marketing,Machine Learning,Logical,UG,Digital Marketer
React Native; JavaScript,Programming,Logical,PG,Mobile App Developer
Docker; Kubernetes,Machine Learning,Creative,Diploma,DevOps Engineer
Statistics; Python,App Development,Logical,Diploma,Data Scientist
Python; Data Analysis,Programming,Logical,Diploma,Data Scientist
PyTorch; Neural Networks,DevOps,Analytical,PG,ML Engineer
Wireframing; User Research,Programming,Creative,PG,UI/UX Designer
Email Marketing; Branding,App Development,Social,PG,Digital Marketer
Email Marketing; Branding,Web Development,Logical,PG,Digital Marketer
Python; ML Algorithms,Programming,Social,Diploma,ML Engineer
NextJS; JavaScript,Programming,Logical,PG,Web Developer
Java; Spring,DevOps,Creative,Diploma,Software Engineer
Azure; Cloud Security,Data Analysis,Social,Diploma,Cloud Engineer
Python; Pandas; NumPy,App Development,Analytical,PG,Data Scientist
CI/CD; Jenkins,App Development,Analytical,Diploma,DevOps Engineer
Android; Kotlin,App Development,Logical,PG,Android Developer
GCP; Cloud Architecture,Designing,Creative,PG,Cloud Engineer
Linux; Bash; DevOps,Data Analysis,Social,Diploma,DevOps Engineer
NextJS; JavaScript,Designing,Analytical,PG,Web Developer
Flutter; Dart,Designing,Creative,PG,Mobile App Developer
Figma; Prototyping,Designing,Social,Diploma,UI/UX Designer
CI/CD; Jenkins,App Development,Analytical,UG,DevOps Engineer
Python; Pandas; NumPy,Cloud Computing,Analytical,PG,Data Scientist
Python; SQL; PowerBI,Marketing,Logical,PG,Data Scientist
Figma; Prototyping,Data Analysis,Logical,PG,UI/UX Designer
Linux; Bash; DevOps,App Development,Analytical,UG,DevOps Engineer
Azure; Cloud Security,App Development,Analytical,PG,Cloud Engineer
Android; Kotlin,Cloud Computing,Analytical,PG,Android Developer
Git; GitHub,Mobile Development,Social,PG,Software Engineer
TensorFlow; Python,Machine Learning,Social,PG,ML Engineer
CI/CD; Jenkins,Data Analysis,Creative,Diploma,DevOps Engineer
HTML; CSS; JavaScript,Web Development,Creative,UG,Web Developer
Python; ML Algorithms,Data Analysis,Analytical,UG,ML Engineer
Figma; Prototyping,Mobile Development,Creative,UG,UI/UX Designer
HTML; CSS; JavaScript,Data Analysis,Analytical,Diploma,Web Developer
Figma; Prototyping,Mobile Development,Social,PG,UI/UX Designer
Python; OOP,Cloud Computing,Social,Diploma,Software Engineer
Android; Flutter,Mobile Development,Logical,PG,Mobile App Developer
Git; GitHub,Cloud Computing,Creative,PG,Software Engineer
Photoshop; Illustrator,Web Development,Analytical,PG,UI/UX Designer
Canva; UI Design,Data Analysis,Analytical,Diploma,UI/UX Designer
NextJS; JavaScript,Mobile Development,Logical,UG,Web Developer
Photoshop; Illustrator,Programming,Creative,Diploma,UI/UX Designer
Wireframing; User Research,Programming,Logical,PG,UI/UX Designer
AWS; Cloud,DevOps,Creative,Diploma,Cloud Engineer
Python; Pandas; NumPy,Data Analysis,Social,PG,Data Scientist
Java; Spring,Web Development,Creative,PG,Software Engineer
C++; DSA,Marketing,Creative,PG,Software Engineer
Git; GitHub,DevOps,Social,PG,Software Engineer
Social Media Marketing,Marketing,Creative,Diploma,Digital Marketer
Social Media Marketing,App Development,Social,UG,Digital Marketer
Photoshop; Illustrator,Marketing,Logical,Diploma,UI/UX Designer
Canva; UI Design,Marketing,Creative,UG,UI/UX Designer
CI/CD; Jenkins,Machine Learning,Logical,Diploma,DevOps Engineer
TensorFlow; Python,DevOps,Analytical,UG,ML Engineer
Deep Learning; Python,Data Analysis,Creative,PG,ML Engineer
React; NodeJS,Designing,Creative,PG,Web Developer
AWS; Cloud,Machine Learning,Logical,Diploma,Cloud Engineer
SEO; Content Writing,Marketing,Analytical,UG,Digital Marketer
Android; Flutter,Data Analysis,Social,UG,Mobile App Developer
Social Media Marketing,Web Development,Analytical,UG,Digital Marketer
Python; Pandas; NumPy,Marketing,Social,PG,Data Scientist
Machine Learning; Python,Designing,Logical,PG,Data Scientist
Wireframing; User Research,Machine Learning,Logical,PG,UI/UX Designer
Email Marketing; Branding,DevOps,Social,Diploma,Digital Marketer
